,,Model,Make_Year,Driven_Kilometers,Fuel,Transmission,Owner(s),Mileage,Engine,Price,Location
5457,, Maruti Vitara Brezza,2017,57301,Diesel,Manual,1,24.3,1248,650000,New Delhi
5458,, Maruti Alto K,2012,79016,Petrol,Manual,2,23.95,998,212848,New Delhi
5459,, Maruti Alto K,2018,15164,Petrol,Manual,1,23.95,998,361000,New Delhi
5460,, Maruti Alto K,2017,17124,Petrol,Manual,2,23.95,998,280000,New Delhi
5461,, Maruti Swift,2015,83833,Diesel,Manual,2,28.4,1248,423870,New Delhi
5462,, Maruti S-Presso,2020,19749,Petrol,Manual,1,21.7,998,380000,New Delhi
5463,, Maruti Swift,2015,35019,Petrol,Manual,1,20.4,1197,390000,New Delhi
5464,, Maruti Swift,2017,63614,Petrol,Manual,4,20.4,1197,410000,New Delhi
5465,, Maruti Swift Dzire,2013,43080,Diesel,Manual,1,23.4,1248,360000,New Delhi
5466,, Hyundai Xcent,2019,23435,Petrol,Manual,1,20.14,1197,530000,New Delhi
5467,, Ford Ecosport,2015,124052,Diesel,Manual,1,21.7,1498,430000,New Delhi
5468,, Honda Amaze,2019,5659,Petrol,Manual,1,17.8,1198,607343,New Delhi
5469,, Honda Jazz,2015,65911,Diesel,Manual,1,27.3,1498,696000,New Delhi
5470,, Honda Brio,2013,67159,Petrol,Manual,1,19.4,1198,296160,New Delhi
5471,, Maruti Alto K,2017,26905,Petrol,Manual,1,23.95,998,290000,New Delhi
5472,, Maruti Alto K,2019,4383,Petrol,Manual,1,23.95,998,378500,New Delhi
5473,, Maruti Swift,2013,92225,Diesel,Manual,1,22.9,1248,363843,New Delhi
5474,, Maruti Swift,2019,30929,Petrol,Manual,1,22,1197,561000,New Delhi
5475,, Hyundai i,2016,134486,Diesel,Manual,1,22.54,1396,479976,New Delhi
5476,, Maruti Ciaz,2016,136776,Diesel,Manual,1,28.09,1248,521016,New Delhi
5477,, Maruti Swift Dzire,2018,49514,Petrol,Manual,1,22,1197,530000,New Delhi
5478,, Maruti Ignis,2019,9024,Petrol,Manual,1,20.89,1197,450000,New Delhi
5479,, Maruti Ciaz,2017,24238,Petrol,Manual,2,20.73,1373,690414,New Delhi
5480,, Maruti Baleno,2017,41867,Petrol,Manual,1,21.01,1197,590000,New Delhi
5481,, Maruti Wagon R Stingray,2013,44660,Petrol,Manual,1,20.51,998,270000,New Delhi
5482,, Hyundai i,2014,90555,Diesel,Manual,1,21.9,1396,320000,New Delhi
5483,, Hyundai Grand i,2018,14880,Petrol,Manual,1,18.9,1197,470000,New Delhi
5484,, Hyundai i,2017,65609,Diesel,Manual,1,22.54,1396,510000,New Delhi
5485,, Maruti Ignis,2018,19635,Petrol,Manual,1,20.89,1197,431000,New Delhi
5486,, Maruti Swift,2015,100976,Diesel,Manual,1,25.2,1248,453300,New Delhi
5487,, Maruti Alto K,2017,23354,Petrol,Manual,1,23.95,998,327000,New Delhi
5488,, Maruti Swift,2019,38456,Petrol,Manual,1,21.21,1197,450000,New Delhi
5489,, Tata Tigor,2018,67371,Petrol,Manual,1,20.3,1199,415000,New Delhi
5490,, Ford Ecosport,2014,135819,Diesel,Manual,1,22.7,1498,420000,New Delhi
5491,, Hyundai Verna,2015,57629,Diesel,Manual,2,23.9,1582,540000,New Delhi
5492,, Maruti Swift Dzire,2014,63004,Diesel,Manual,1,23.4,1248,445450,New Delhi
5493,, Maruti Ignis,2018,4878,Petrol,Manual,1,20.89,1197,505000,New Delhi
5494,, Maruti Swift,2018,37075,Diesel,Manual,1,28.4,1248,629500,New Delhi
5495,, Maruti Vitara Brezza,2017,80132,Diesel,Manual,1,24.3,1248,690000,New Delhi
5496,, Maruti Swift,2019,7986,Petrol,Manual,1,21.21,1197,535000,New Delhi
5497,, Honda City,2015,98239,Diesel,Manual,2,25.1,1498,520000,New Delhi
5498,, Maruti Swift,2015,76418,Diesel,Manual,1,25.2,1248,385000,New Delhi
5499,, Honda City,2015,122818,Diesel,Manual,1,26,1498,460000,New Delhi
5500,, Hyundai i,2012,86803,Diesel,Manual,1,21.9,1396,295000,New Delhi
5501,, Maruti Baleno,2019,27729,Petrol,Manual,1,21.01,1197,655000,New Delhi
5502,, Hyundai i,2015,100799,Petrol,Manual,1,18.6,1197,480000,New Delhi
5503,, Maruti Swift Dzire,2015,101807,Diesel,Manual,1,26.59,1248,480000,New Delhi
5504,, Renault KWID,2018,10287,Petrol,Manual,1,25.17,799,350000,New Delhi
5505,, Maruti Ignis,2018,47478,Petrol,Manual,1,20.89,1197,480455,New Delhi
5506,, Maruti Swift,2014,75526,Diesel,Manual,1,28.4,1248,350000,New Delhi
5507,, Maruti Ignis,2018,31692,Petrol,Manual,1,20.89,1197,501984,New Delhi
5508,, Maruti Alto K,2015,85613,Petrol,Manual,1,23.95,998,240000,New Delhi
5509,, Maruti Ignis,2018,39393,Petrol,Manual,1,20.89,1197,430000,New Delhi
5510,, Maruti Baleno,2018,96850,Petrol,Manual,1,21.4,1197,560000,New Delhi
5511,, Hyundai i,2015,40750,Petrol,Manual,1,18.6,1197,610000,New Delhi
5512,, Maruti Swift Dzire,2015,70138,Petrol,Manual,1,20.85,1197,365000,New Delhi
5513,, Maruti Swift,2012,65437,Diesel,Manual,1,22.9,1248,240000,New Delhi
5514,, Maruti Ciaz,2017,89418,Diesel,Manual,1,28.09,1248,565000,New Delhi
5515,, Hyundai i,2014,67676,Petrol,Manual,1,18.6,1197,470000,New Delhi
5516,, Maruti Celerio,2014,87839,Petrol,Manual,1,23.1,998,337524,New Delhi
5517,, Maruti Baleno,2015,58938,Petrol,Manual,1,21.4,1197,490193,New Delhi
5518,, Maruti Baleno,2017,66476,Diesel,Manual,1,27.39,1248,570000,New Delhi
5519,, Hyundai i,2015,96041,Diesel,Manual,1,22.54,1396,455000,New Delhi
5520,, Toyota Etios Liva,2011,129346,Petrol,Manual,1,18.3,1197,270000,New Delhi
5521,, Maruti Swift,2018,28730,Petrol,Manual,1,21.21,1197,560000,New Delhi
5522,, Maruti Ciaz,2017,66729,Petrol,Manual,1,20.73,1373,690000,New Delhi
5523,, Maruti Swift,2014,75526,Diesel,Manual,1,28.4,1248,350000,New Delhi
5524,, Maruti Ignis,2018,31692,Petrol,Manual,1,20.89,1197,501984,New Delhi
5525,, Maruti Alto K,2015,85613,Petrol,Manual,1,23.95,998,240000,New Delhi
5526,, Maruti Ignis,2018,39393,Petrol,Manual,1,20.89,1197,430000,New Delhi
5527,, Maruti Baleno,2018,96850,Petrol,Manual,1,21.4,1197,560000,New Delhi
5528,, Hyundai i,2015,40750,Petrol,Manual,1,18.6,1197,610000,New Delhi
5529,, Maruti Swift Dzire,2015,70138,Petrol,Manual,1,20.85,1197,365000,New Delhi
5530,, Maruti Swift,2012,65437,Diesel,Manual,1,22.9,1248,240000,New Delhi
5531,, Maruti Ciaz,2017,89418,Diesel,Manual,1,28.09,1248,565000,New Delhi
5532,, Hyundai i,2014,67676,Petrol,Manual,1,18.6,1197,470000,New Delhi
5533,, Maruti Celerio,2014,87839,Petrol,Manual,1,23.1,998,337524,New Delhi
5534,, Maruti Baleno,2015,58938,Petrol,Manual,1,21.4,1197,490193,New Delhi
5535,, Maruti Baleno,2017,66476,Diesel,Manual,1,27.39,1248,570000,New Delhi
5536,, Hyundai i,2015,96041,Diesel,Manual,1,22.54,1396,455000,New Delhi
5537,, Toyota Etios Liva,2011,129346,Petrol,Manual,1,18.3,1197,270000,New Delhi
5538,, Maruti Swift,2018,28730,Petrol,Manual,1,21.21,1197,560000,New Delhi
5539,, Maruti Ciaz,2017,66729,Petrol,Manual,1,20.73,1373,690000,New Delhi
5540,, Maruti Swift Dzire,2015,66420,Diesel,Manual,1,26.59,1248,410000,New Delhi
5541,, Hyundai Grand i,2013,48727,Petrol,Manual,2,18.9,1197,330000,New Delhi
5542,, Maruti Swift Dzire,2015,66420,Diesel,Manual,1,26.59,1248,410000,New Delhi
5543,, Hyundai Grand i,2013,48727,Petrol,Manual,2,18.9,1197,330000,New Delhi
5544,, Maruti Swift,2014,72983,Petrol,Manual,1,22,1197,380000,New Delhi
5545,, Ford Ecosport,2013,70802,Diesel,Manual,1,22.7,1498,460000,New Delhi
5546,, Honda WR-V,2018,20789,Petrol,Manual,1,17.5,1199,782024,New Delhi
5547,, Maruti Swift,2014,79261,Diesel,Manual,1,22.9,1248,444211,New Delhi
5548,, Hyundai i,2014,54445,Diesel,Manual,1,22.54,1396,457500,New Delhi
5549,, Maruti Ciaz,2016,78494,Diesel,Manual,1,28.09,1248,520000,New Delhi
5550,, Hyundai i,2015,117327,Diesel,Manual,1,22.54,1396,460000,New Delhi
5551,, Maruti Ciaz,2017,68634,Petrol,Manual,1,20.73,1373,700500,New Delhi
5552,, Hyundai i Active,2015,79238,Diesel,Manual,1,21.19,1396,568450,New Delhi
5553,, Maruti Swift,2019,23742,Petrol,Manual,1,23.2,1197,490000,New Delhi
5554,, Honda City,2015,98792,Petrol,Manual,1,17.4,1497,683988,New Delhi
5555,, Hyundai i,2016,97760,Diesel,Manual,1,22.54,1396,550000,New Delhi
5556,, Toyota Etios Liva,2014,67058,Diesel,Manual,1,23.59,1364,429311,New Delhi
5557,, Maruti Swift Dzire,2017,78863,Diesel,Manual,1,28.4,1248,682104,New Delhi
5558,, Maruti Ciaz,2017,43559,Petrol,Manual,1,20.73,1373,625000,New Delhi
5559,, Hyundai Verna,2012,44385,Petrol,Manual,1,17.01,1591,426000,New Delhi
5560,, Maruti Swift,2012,36586,Diesel,Manual,1,22.9,1248,343000,New Delhi
5561,, Honda Brio,2014,90158,Petrol,Manual,1,19.4,1198,312000,New Delhi
5562,, Honda Amaze,2019,49218,Petrol,Manual,1,19.5,1199,640000,New Delhi
5563,, Maruti Ciaz,2016,79481,Diesel,Manual,1,28.09,1248,560000,New Delhi
5564,, Maruti Ciaz,2015,78667,Diesel,Manual,1,26.21,1248,470000,New Delhi
5565,, Maruti Swift Dzire,2014,49470,Diesel,Manual,1,23.4,1248,330000,New Delhi
5566,, Maruti Swift Dzire,2014,23518,Petrol,Manual,1,20.85,1197,396654,New Delhi
5567,, Volkswagen Polo,2017,40750,Petrol,Manual,1,16.2,1199,430500,New Delhi
5568,, Maruti Swift Dzire,2018,22316,Petrol,Manual,1,21.21,1197,590000,New Delhi
5569,, Maruti Swift Dzire,2015,54632,Diesel,Manual,1,26.59,1248,450000,New Delhi
5570,, Maruti Alto K,2015,60606,Petrol,Manual,1,23.95,998,279500,New Delhi
5571,, Maruti Alto K,2018,13215,Petrol,Manual,1,23.95,998,290000,New Delhi
5572,, Hyundai i,2013,47884,Petrol,Manual,2,20.36,1197,269500,New Delhi
5573,, Maruti Wagon R,2015,24036,Petrol,Manual,1,20.51,998,376500,New Delhi
5574,, Maruti Baleno,2018,21377,Petrol,Manual,1,21.01,1197,526500,New Delhi
5575,, Maruti Alto ,2017,25165,Petrol,Manual,1,24.7,796,329258,New Delhi
5576,, Maruti Vitara Brezza,2017,82513,Diesel,Manual,1,24.3,1248,730752,New Delhi
5577,, Hyundai i,2015,63324,Petrol,Manual,1,19.81,1086,346758,New Delhi
5578,, Maruti Swift Dzire,2018,36883,Diesel,Manual,1,28.4,1248,520000,New Delhi
5579,, Maruti Swift Dzire,2019,26306,Petrol,Manual,1,22,1197,637000,New Delhi
5580,, Hyundai Xcent,2014,92705,Diesel,Manual,1,25.4,1186,285000,New Delhi
5581,, Tata Tigor,2018,34688,Petrol,Manual,1,20.3,1199,450000,New Delhi
5582,, Maruti Wagon R,2016,38255,Petrol,Manual,1,20.51,998,310000,New Delhi
5583,, Volkswagen Polo,2011,118807,Petrol,Manual,1,16.47,1198,271500,New Delhi
5584,, Maruti Swift Dzire,2017,66037,Diesel,Manual,1,28.4,1248,499500,New Delhi
5585,, Maruti Baleno,2019,15413,Petrol,Manual,1,21.01,1197,700801,New Delhi
5586,, Maruti Eeco,2018,48165,Petrol,Manual,1,15.37,1196,356500,New Delhi
5587,, Maruti Alto K,2019,7888,Petrol,Manual,1,23.95,998,414500,New Delhi
5588,, Maruti Baleno,2018,18792,Petrol,Manual,1,21.4,1197,545000,New Delhi
5589,, Maruti Alto ,2015,21705,Petrol,Manual,1,22.74,796,255000,New Delhi
5590,, Honda City,2016,37257,Petrol,Manual,2,17.8,1497,669693,New Delhi
5591,, Maruti Baleno,2016,47156,Diesel,Manual,1,27.39,1248,558168,New Delhi
5592,, Ford Ecosport,2014,85420,Diesel,Manual,1,21.7,1498,480667,New Delhi
5593,, Maruti Ignis,2017,23615,Petrol,Manual,1,20.89,1197,470000,New Delhi
5594,, Maruti Ignis,2017,32643,Petrol,Manual,1,20.89,1197,503196,New Delhi
5595,, Honda WR-V,2017,70044,Diesel,Manual,1,23.7,1498,643000,New Delhi
5596,, Hyundai Xcent,2014,114389,Diesel,Manual,1,24.4,1120,327264,New Delhi
5597,, Maruti Swift Dzire,2019,52212,Diesel,Manual,1,28.4,1248,610000,New Delhi
5598,, Hyundai i,2016,28562,Petrol,Manual,1,20.35,1197,558000,New Delhi
5599,, Renault KWID,2017,34177,Petrol,Manual,1,21.74,999,264606,New Delhi
5600,, Maruti Swift,2012,25394,Petrol,Manual,1,18.6,1197,371500,New Delhi
5601,, Maruti Alto K,2017,34854,Petrol,Manual,1,23.95,998,270000,New Delhi
5602,, Maruti Baleno,2016,21582,Petrol,Manual,1,21.01,1197,510000,New Delhi
5603,, Maruti Swift,2015,20518,Petrol,Manual,2,20.4,1197,385000,New Delhi
5604,, Hyundai Grand i,2018,18382,Petrol,Manual,1,18.9,1197,488000,New Delhi
5605,, Maruti Alto K,2012,58877,Petrol,Manual,2,20.92,998,192000,New Delhi
5606,, Maruti Alto K,2019,7213,Petrol,Manual,1,23.95,998,330000,New Delhi
5607,, Renault KWID,2015,15728,Petrol,Manual,1,25.17,799,264000,New Delhi
5608,, Maruti Swift Dzire,2013,136786,Diesel,Manual,1,23.4,1248,280000,New Delhi
5609,, Hyundai Xcent,2015,67936,Diesel,Manual,1,24.4,1120,347244,New Delhi
5610,, Honda Amaze,2019,21276,Petrol,Manual,1,17.8,1198,640430,New Delhi
5611,, Maruti Wagon R,2019,21598,Petrol,Manual,1,20.52,1197,460000,New Delhi
5612,, Hyundai Grand i,2019,6928,Petrol,Manual,1,18.9,1197,524000,New Delhi
5613,, Maruti Swift Dzire,2015,88285,Diesel,Manual,1,26.59,1248,456500,New Delhi
5614,, Maruti Swift Dzire,2015,79842,Petrol,Manual,1,20.85,1197,385000,New Delhi
5615,, Maruti Swift Dzire,2018,18318,Petrol,Manual,1,22,1197,560000,New Delhi
5616,, Volkswagen Ameo,2016,46846,Petrol,Manual,1,17,1198,390000,New Delhi
5617,, Maruti Swift,2018,14096,Petrol,Manual,1,21.21,1197,572794,New Delhi
5618,, Ford Ecosport,2013,124474,Diesel,Manual,1,23,1498,370000,New Delhi
5619,, Hyundai i,2016,27045,Petrol,Manual,1,18.6,1197,576000,New Delhi
5620,, Maruti Alto ,2015,77289,Petrol,Manual,1,24.7,796,219500,New Delhi
5621,, Maruti Alto K,2017,18075,Petrol,Manual,2,23.95,998,310000,New Delhi
5622,, Maruti Alto K,2016,50097,Petrol,Manual,1,23.95,998,260000,New Delhi
5623,, Maruti Alto K,2011,64147,Petrol,Manual,1,20.92,998,178500,New Delhi
5624,, Maruti Alto K,2018,44973,Petrol,Manual,1,23.95,998,345000,New Delhi
5625,, Maruti Swift Dzire,2018,57052,Petrol,Manual,1,21.21,1197,570000,New Delhi
5626,, Maruti Alto K,2011,81840,Petrol,Manual,1,23.95,998,173500,New Delhi
5627,, Maruti Ciaz,2016,107247,Diesel,Manual,1,28.09,1248,566430,New Delhi
5628,, Hyundai Grand i,2019,6928,Petrol,Manual,1,18.9,1197,524000,New Delhi
5629,, Honda Amaze,2019,5659,Petrol,Manual,1,17.8,1198,607343,New Delhi
5630,, Maruti Swift Dzire,2015,88285,Diesel,Manual,1,26.59,1248,456500,New Delhi
5631,, Maruti Swift Dzire,2015,79842,Petrol,Manual,1,20.85,1197,385000,New Delhi
5632,, Maruti Swift Dzire,2018,18318,Petrol,Manual,1,22,1197,560000,New Delhi
5633,, Volkswagen Ameo,2016,46846,Petrol,Manual,1,17,1198,390000,New Delhi
5634,, Maruti Swift,2018,14096,Petrol,Manual,1,21.21,1197,572794,New Delhi
5635,, Ford Ecosport,2013,124474,Diesel,Manual,1,23,1498,370000,New Delhi
5636,, Maruti Alto ,2015,77289,Petrol,Manual,1,24.7,796,219500,New Delhi
5637,, Maruti Alto K,2017,18075,Petrol,Manual,2,23.95,998,310000,New Delhi
5638,, Maruti Alto K,2016,50097,Petrol,Manual,1,23.95,998,260000,New Delhi
5639,, Maruti Alto K,2011,64147,Petrol,Manual,1,20.92,998,178500,New Delhi
5640,, Hyundai i,2017,52938,Petrol,Manual,1,18.6,1197,540000,New Delhi
5641,, Maruti Alto K,2018,44973,Petrol,Manual,1,23.95,998,345000,New Delhi
5642,, Maruti Swift Dzire,2018,57052,Petrol,Manual,1,21.21,1197,570000,New Delhi
5643,, Maruti Alto K,2011,81840,Petrol,Manual,1,23.95,998,173500,New Delhi
5644,, Maruti Ciaz,2016,107247,Diesel,Manual,1,28.09,1248,566430,New Delhi
5645,, Maruti Vitara Brezza,2017,33434,Diesel,Manual,1,24.3,1248,725000,New Delhi
5646,, Hyundai i,2017,21993,Petrol,Manual,1,18.6,1197,651500,Noida
5647,, Toyota Etios,2011,51959,Petrol,Manual,1,17.6,1496,235500,Noida
5648,, Maruti Alto ,2015,28784,Petrol,Manual,1,22.74,796,245500,Noida
5649,, Hyundai Xcent,2015,82289,Diesel,Manual,1,24.4,1120,305000,Noida
5650,, Maruti Alto K,2016,59872,Petrol,Manual,1,23.95,998,280000,Noida
5651,, Honda Jazz,2011,68107,Petrol,Manual,1,16.7,1198,251000,Noida
5652,, Ford Ecosport,2014,103138,Diesel,Manual,1,21.7,1498,472500,Noida
5653,, Ford Ecosport,2015,66444,Diesel,Manual,1,21.7,1498,536500,Noida
5654,, Maruti Ciaz,2017,37327,Diesel,Manual,1,28.09,1248,642000,Noida
5655,, Maruti Baleno,2015,78425,Diesel,Manual,1,27.39,1248,460500,Noida
5656,, Honda Mobilio,2014,84291,Diesel,Manual,1,24.2,1498,387500,Noida
5657,, Toyota Etios Liva,2013,108191,Diesel,Manual,1,23.59,1364,323500,Noida
5658,, Maruti Swift,2013,46699,Petrol,Manual,1,18.6,1197,387500,Noida
5659,, Mahindra XUV,2017,64819,Diesel,Manual,2,16,1997,980500,Noida
5660,, Maruti Wagon R,2016,65069,Petrol,Manual,1,20.51,998,314500,Noida
5661,, Hyundai Grand i,2014,76310,Diesel,Manual,1,24,1186,340500,Noida
5662,,Nissan Micra XL,2011,59000,Petrol,Manual,1,18.44,1198,254999,Noida
5663,,Volkswagen Polo Petrol Comfortline .L,2011,71000,Petrol,Manual,1,16.47,1198,285000,Noida
5664,,Hyundai i Sportz .,2013,72000,Petrol,Manual,1,18.5,1197,365000,Noida
5665,,Hyundai Grand i CRDi Sportz,2017,53000,Diesel,Manual,1,24,1120,425000,Noida
5666,,Hyundai i Magna Optional .,2012,39000,Petrol,Manual,1,18.5,1197,335000,Noida
5667,,Maruti Wagon R LXI,2012,64000,Petrol,Manual,1,21.79,998,265000,Noida
5668,,Maruti Wagon R LXI,2013,77000,Petrol,Manual,1,20.51,998,265000,Noida
5669,,Mahindra TUV  T,2016,40000,Diesel,Manual,1,18.49,1493,625000,Noida
5670,,Hyundai EON D Lite Plus,2012,48000,Petrol,Manual,1,21.1,814,215000,Noida
5671,,Maruti Wagon R LXI,2012,34000,Petrol,Manual,2,20.51,998,265000,Noida
5672,,Honda Jazz . S i VTEC,2017,36000,Petrol,Manual,1,18.7,1199,530000,Noida
5673,,Ford Aspire . Ti-VCT Titanium Plus,2016,36000,Petrol,Manual,1,18.16,1196,445000,Noida
5674,,Hyundai i Era,2011,67000,Petrol,Manual,1,19.81,1086,195000,Noida
5675,, Hyundai Santro,2018,21817,Petrol,Manual,1,20.3,1086,476000,Pune
5676,, Maruti Celerio,2020,7989,Petrol,Manual,1,21.63,998,556500,Pune
5677,, Maruti Ritz,2014,67899,Petrol,Manual,1,18.5,1197,397500,Pune
5678,, Ford Figo Aspire,2017,24644,Petrol,Manual,1,18.16,1196,549000,Pune
5679,, Maruti Alto ,2018,20132,Petrol,Manual,1,24.7,796,310000,Pune
5680,, Maruti Wagon R,2016,23918,Petrol,Manual,1,21.79,998,370000,Pune
5681,,Maruti Wagon R VXI,2014,34571,Petrol,Manual,1,21.79,998,370000,Pune
5682,,Ford EcoSport . DV MT Trend,2013,106000,Diesel,Manual,1,22.7,1498,550000,Pune
5683,,Maruti Baleno Delta .,2018,28000,Petrol,Manual,1,21.4,1197,650000,Pune
5684,, Maruti Vitara Brezza,2017,60710,Diesel,Manual,1,24.3,1248,790000,Pune
5685,, Maruti Alto ,2017,50351,Petrol,Manual,1,24.7,796,317381,Pune
5686,, Maruti Wagon R,2014,28181,Petrol,Manual,1,21.79,998,383500,Pune
5687,, Maruti Wagon R,2014,89043,Petrol,Manual,2,20.51,998,308500,Pune
5688,, Maruti Ritz,2015,32398,Petrol,Manual,1,18.5,1197,422500,Pune
5689,, Maruti Wagon R,2015,30473,CNG,Manual,1,26.6,998,441000,Pune
5690,, Hyundai Grand i,2015,50429,Diesel,Manual,1,24,1120,502000,Pune
5691,, Honda Brio,2015,59695,Petrol,Manual,2,19.4,1198,370000,Pune
5692,, Maruti Swift Dzire,2015,95297,Diesel,Manual,1,26.59,1248,665000,Pune
5693,, Maruti Wagon R,2016,30571,Petrol,Manual,1,20.51,998,385000,Pune
5694,, Maruti Ciaz,2017,22941,Diesel,Manual,1,28.09,1248,774500,Pune
5695,, Maruti Wagon R,2015,58035,Petrol,Manual,1,20.51,998,384000,Pune
5696,, Hyundai i,2011,68398,Petrol,Manual,2,18.5,1197,308000,Pune
5697,, Hyundai Grand i,2014,82087,Petrol,Manual,2,18.9,1197,375000,Pune
5698,, Hyundai i,2015,119350,Diesel,Manual,1,22.54,1396,561000,Pune
5699,, Hyundai i,2018,31891,Petrol,Manual,1,18.6,1197,796500,Pune
5700,, Maruti Celerio,2014,86794,Petrol,Manual,1,23.1,998,330000,Pune
5701,, Hyundai Grand i,2015,27043,Petrol,Manual,1,18.9,1197,486000,Pune
5702,, Mahindra Scorpio,2014,114235,Diesel,Manual,1,12.05,2179,572000,Pune
5703,, Maruti Swift,2012,110912,Diesel,Manual,1,22.9,1248,438500,Pune
5704,, Maruti Swift,2014,54982,Petrol,Manual,1,20.4,1197,472500,Pune
5705,, Hyundai Grand i,2015,56105,Petrol,Manual,2,18.9,1197,385500,Pune
5706,, Maruti Ertiga,2018,87900,Diesel,Manual,1,24.52,1248,916000,Pune
5707,, Maruti Ignis,2017,83478,Petrol,Manual,1,20.89,1197,475000,Pune
5708,, Honda Amaze,2013,97259,Diesel,Manual,2,25.8,1498,304000,Pune
5709,, Maruti Wagon R,2011,49351,Petrol,Manual,1,20.51,998,236500,Pune
5710,, Maruti Alto ,2017,90516,Petrol,Manual,1,24.7,796,326500,Pune
5711,, Honda Amaze,2018,9618,Petrol,Manual,1,17.8,1198,590000,Pune
5712,, Tata Tiago,2016,49487,Petrol,Manual,1,23.84,1199,375500,Pune
5713,, Maruti Wagon R,2017,3430,Petrol,Manual,1,21.79,998,444000,Pune
5714,, Renault KWID,2019,11461,Petrol,Manual,1,20.71,799,372500,Pune
5715,, Maruti Wagon R,2016,62550,Petrol,Manual,1,20.51,998,345000,Pune
5716,, Maruti Wagon R,2017,24273,Petrol,Manual,1,21.79,998,380000,Pune
5717,, Hyundai Grand i,2018,8707,Petrol,Manual,1,18.9,1197,471000,Pune
5718,, Maruti Wagon R,2016,29722,Petrol,Manual,1,21.5,1197,390000,Pune
5719,, Maruti Ciaz,2018,20987,Petrol,Manual,1,20.73,1373,719000,Pune
5720,, Maruti Wagon R,2014,40632,Petrol,Manual,1,20.51,998,379000,Pune
5721,, Maruti Wagon R,2015,33968,Petrol,Manual,1,20.51,998,448978,Pune
5722,, Maruti Wagon R,2017,50296,Petrol,Manual,1,20.51,998,510000,Pune
5723,, Maruti Wagon R,2016,33021,Petrol,Manual,1,21.79,998,380000,Pune
5724,, Maruti Ciaz,2018,10265,Petrol,Manual,1,20.73,1373,790000,Pune
5725,, Maruti Ignis,2017,13483,Petrol,Manual,1,20.89,1197,495000,Pune
5726,, Maruti Swift Dzire,2015,73877,Diesel,Manual,1,28.4,1248,688024,Pune
5727,, Maruti Ignis,2017,29584,Petrol,Manual,1,20.89,1197,475000,Pune
5728,, Maruti Swift Dzire,2017,34105,Diesel,Manual,1,28.4,1248,783000,Pune
5729,, Maruti Wagon R,2019,10563,Petrol,Manual,1,20.52,1197,538000,Pune
5730,, Maruti Swift Dzire,2016,36612,Diesel,Manual,1,26.59,1248,610000,Pune
5731,, Maruti Wagon R,2017,52758,Petrol,Manual,1,20.51,998,410000,Pune
5732,, Maruti Wagon R,2013,55059,Petrol,Manual,1,20.51,998,346000,Pune
5733,, Maruti Wagon R,2016,35851,Petrol,Manual,1,21.79,998,360500,Pune
5734,, Maruti Alto ,2016,67531,Petrol,Manual,1,22.74,796,260000,Pune
5735,, Hyundai i,2016,52795,Petrol,Manual,2,18.6,1197,564000,Pune
5736,, Maruti Alto ,2018,29433,Petrol,Manual,1,24.7,796,330000,Pune
5737,, Maruti Wagon R,2014,30153,Petrol,Manual,1,21.79,998,345000,Pune
5738,, Maruti Wagon R,2017,43192,Petrol,Manual,1,21.79,998,435000,Pune
5739,, Hyundai i,2016,47040,Petrol,Manual,1,18.6,1197,590000,Pune
5740,, Hyundai i,2015,45370,Petrol,Manual,1,18.6,1197,529500,Pune
5741,, Hyundai Grand i,2015,61631,Petrol,Manual,1,18.9,1197,471000,Pune
5742,, Maruti Swift,2014,82641,Diesel,Manual,1,22.9,1248,470000,Pune
5743,, Hyundai Grand i,2015,31683,Petrol,Manual,1,18.9,1197,430000,Pune
5744,, Honda Jazz,2015,95101,Diesel,Manual,1,27.3,1498,530000,Pune
5745,, Maruti Wagon R,2018,31380,Petrol,Manual,1,21.79,998,439000,Pune
5746,, Maruti Wagon R Stingray,2014,44389,Petrol,Manual,1,20.51,998,362500,Pune
5747,, Maruti Baleno,2016,15600,Petrol,Manual,1,21.4,1197,525000,Pune
5748,, Hyundai Xcent,2019,62869,Diesel,Manual,1,25.4,1186,613804,Pune
5749,, Maruti Baleno,2016,53882,Petrol,Manual,1,21.4,1197,490000,Pune
5750,, Maruti Baleno,2016,78505,Petrol,Manual,1,21.4,1197,515000,Pune
5751,, Hyundai i,2016,17429,Petrol,Manual,1,19.81,1086,380000,Pune
5752,, Hyundai i,2018,30914,Petrol,Manual,1,18.6,1197,633000,Pune
5753,, Maruti Swift,2015,57664,Diesel,Manual,1,25.2,1248,538000,Pune
5754,, Renault KWID,2020,5027,Petrol,Manual,1,20.71,799,370000,Pune
5755,, Maruti Baleno,2018,6013,Petrol,Manual,1,21.01,1197,600000,Pune
5756,, Maruti Swift,2019,22645,Petrol,Manual,1,21.21,1197,585000,Pune
5757,, Maruti Swift,2017,36418,Petrol,Manual,1,21.21,1197,640000,Pune
5758,, Maruti Alto K,2018,13625,Petrol,Manual,1,23.95,998,359500,Pune
5759,, Hyundai i Active,2016,41696,Petrol,Manual,1,17.19,1197,559000,Pune
5760,, Maruti Baleno,2019,17269,Petrol,Manual,1,21.4,1197,733000,Pune
5761,, Maruti Alto K,2012,48233,Petrol,Manual,1,20.92,998,245000,Pune
5762,, Hyundai i Active,2015,73029,Petrol,Manual,2,17.19,1197,480000,Pune
5763,, Honda Brio,2012,87437,Petrol,Manual,1,18.5,1198,265000,Pune
